2018rank,City,State,2018estimate,2010Census,Change,2016 land area (Sq.mi),2016 land area (Sq.Km),2016 population density (per Sq.mi),population density (per Sq.Km),Location,Country,Settled,Named for,Type,Body,Mayor,Total (sq.mi),Land (sq.mi),Water (sq.mi),Metro,Elevation (in ft),Estimate,Density (per sq.mi),Demonym,Time zone,Summer ,ZIP Codes,FIPS code,Website,CSA,Incorporated,Urban (sq.mi),Area codes,GNIS feature IDs,Counties,City Area (sq.mi),Commuter Rail,Interstates,State Routes,Founded,City Manager,City Council,Primary Airport
212,Concord,California,"129,688","122,067",+6.24%,30.5,79.0,"4,221","1,630",37°58′20″N 122°00′06″W﻿ ,United States,,,City Council/City Manager,,Carlyn Obringer,30.54,30.54,0.00,,75 ft,"128,726","4,214.44",,UTC−8 (Pacific),UTC−7 (PDT),94518–94521,06-16000,Official website,,"February 8, 1905",,925,"1658308, 2410214",Contra Costa,,,,,,,,
213,Kent,Washington,"129,618","92,411",+40.26%,33.7,87.3,"3,784","1,461",47°23′17″N 122°12′46″W﻿ ,United States,,,Mayor-council government,,Dana Ralph (Elected November 2017),34.42,33.75,0.67,,43-500 ft,"128,458","3,806.16",,UTC-8 (PST),UTC-7 (PDT),"98030, 98031, 98032, 98035, 98042, 98064, 98089",53-35415,kentwa.gov,,"May 28, 1890",,253,1530952,King,,,,,,,,
214,Santa Clara,California,"129,488","116,468",+11.18%,18.4,47.7,"6,845","2,643",37°21′53″N 121°58′04″W﻿ ,United States,,Saint Clare of Assisi,Council/Manager,,,18.41,18.41,0.00,,72 ft,"125,948","6,841.65",,UTC−8 (Pacific),UTC−7 (PDT),"95050,95051,95054",06-69084,santaclaraca.gov,,"July 5, 1852",,408/669,"1654953, 2411816",Santa Clara,,(planned),,,,Deanna Santana,Mayor Lisa GillmorPat KolstadDebi DavisPatricia MahanTeresa O'NeillKathy Watanabe,San Jose International AirportSJC (Major/International)
215,Elizabeth,New Jersey,"128,885","124,969",+3.13%,12.3,31.9,"10,459","4,038",40°39′59″N 74°11′37″W﻿ ,United States,,"Elizabeth, wife of Sir George Carteret",Faulkner Act (Mayor-Council),City Council,"J. Christian ""Chris"" Bollwage (D, term ends December 31, 2020)",13.464,12.319,1.145,,16 ft,"128,885","10,144.1",,UTC−05:00 (Eastern (EST)),UTC−04:00 (Eastern (EDT)),07201 – Union Square station07202 – Bayway station07206 – Elizabethport station07207 – P.O. Boxes07208 – Elmora station,3403921000,www.elizabethnj.org,,"March 13, 1855",,908,0885205,Union,,,,,1664,,,
216,Round Rock,Texas,"128,739","99,887",+28.88%,35.6,92.2,"3,396","1,311",30°31′31″N 97°39′58″W﻿ ,United States,,,Council-Manager,,,35.9,35.6,0.3,,735 ft,,,Round Rockers,UTC−6 (Central (CST)),UTC−5 (CDT),,48-63500,roundrocktexas.gov,,,,512 & 737,1366966,"Williamson, Travis",,,,,,Laurie Hadley,Mayor Craig MorganMayor Pro-tem Will PeckhamTammy YoungFrank LeffingwellWrit BaeseHilda Montgomery,
217,Thousand Oaks,California,"127,690","126,683",+0.79%,55.2,143.0,"2,335",902,34°11′36″N 118°52′27″W﻿ ,United States,,,Council/Manager,,Andy Fox (R),55.33,55.18,0.15,,886 ft,"128,995","2,335.69",,UTC−8 (Pacific),UTC−7 (PDT),"91359, 91320, 91360–91362",06-78582,www.toaks.org,,"October 7, 1964",,805/820,"1661567, 2412065",Ventura,,,,,,,,Los Angeles International AirportLAX (Major/International)
218,Lafayette,Louisiana,"126,143","120,623",+4.58%,53.8,139.3,"2,372",916,30°12′27″N 92°01′43″W﻿ ,United States,,"General Gilbert du Motier, Marquis De Lafayette",Consolidated City-Parish,,,,53.81,0.10,"5,252",36 ft,"129,626","2,371.75",Lafayettiens,UTC-6 (CST),UTC-5 (CDT),"70501–9, 70593, 70596, 70598",22-40735,www.lafayettetravel.com,"627,146 (US: 77th)",,"252,720",337,,,,,,,1821 as Vermilionville,,,
219,Athens,Georgia,"125,964","115,452",+9.11%,116.4,301.5,"1,060",410,33°56′59″N 83°22′12″W﻿ ,United States,,"Athens, Greece",,,Kelly Girtz ,,117.8,0.5,"209,271",636 ft,"125,691",851.5,,UTC−5 (EST),UTC−4 (EDT),"30601, 30602, 30603, 30604, 30605, 30606, 30607, 30608, 30609, 30612",13-03440,athensclarkecounty.com,,,,706/762,,Clarke,,,,,,,,
220,Topeka,Kansas,"125,904","127,473",−1.23%,61.5,159.3,"2,062",796,39°02′05″N 95°41′46″W﻿ ,United States,,,Council-Manager,,Michelle De La Isla,,60.17,1.30,"232,594",945 ft,"125,904","2,100",Topekan,UTC-6 (CST),UTC-5 (CDT),"66601-66612, 66614-66622, 66624-66626, 66628-66629, 66636-66637, 66642, 66647, 66652-66653, 66667, 66675, 66683, 66692, 66699 ",20-71000 ,topeka.org,,1857,"150,003",785,,Shawnee,,,,,1854,Brent Trout,,
221,Simi Valley,California,"125,851","124,237",+1.30%,41.5,107.5,"3,044","1,175",34°16′01″N 118°44′55″W﻿ ,United States,,,Council-Manager,City council:Mayor Keith Mashburn Dee CavanaughMike JudgeRuth Luevanos,,42.24,41.48,0.77,,768 ft,"126,878","3,045.79",,UTC−8 (Pacific),UTC−7 (PDT),"93062–93065, 93093–93094, 93099",06-72016,www.simivalley.org,,"October 10, 1969",,805,"1661450, 2411904",Ventura,,,,,,Eric Levitt,,
222,Fargo,North Dakota,"124,844","105,549",+18.28%,49.3,127.7,"2,450",950,46°51′55″N 96°49′44″W﻿ ,United States,,,,,Tim Mahoney,,48.82,0,"245,471",904 ft,"124,844","2,200",Fargoan,UTC-6 (CST),UTC-5 (CDT),"58102-58109, 58121-58122, 58124-58126",38-25700,City of Fargo,,,"176,676",701,1028945,Cass,48.82,,,,1871,,,
223,Norman,Oklahoma,"123,471","110,925",+11.31%,178.8,463.1,683,264,35°14′26″N 97°20′43″W﻿ ,United States,,,Council-manager,,Lynne Miller,,178.8,10.7,"1,319,677","1,171 ft","122,843",661.1,,UTC−6 (Central (CST)),UTC−5 (CDT),"73019, 73026, 73069, 73070, 73071, 73072",40-52500,www.ci.norman.ok.us,,,"103,898",405,1095903,Cleveland,189.4,,,,,Mary Rupp (interim),,
224,Columbia,Missouri,"123,180","108,500",+13.53%,65.0,168.3,"1,856",717,38°57′06″N 92°19′43″W﻿ ,United States,1818,Columbia,Council-Manager,Columbia City Council,Brian Treece,63.5,63.08,.42,,758 ft,"123,180","1,700",Columbian(s),UTC-6 (CST),UTC-5 (CDT),"65201, 65202, 65203, 65211",29-15670,www.como.gov,,1826,,573,0716133,Boone,,,,,1821,John Glascock (Interim),,
225,Abilene,Texas,"122,999","117,063",+5.07%,106.7,276.4,"1,146",442,32°27′16″N 99°44′17″W﻿ ,United States,1881,"Abilene, Kansas",Council-Manager,,,,106.8,5.4,"170,219","1,719 ft","121,885","1,141",Abilenian,UTC−6 (CST),UTC−5 (CDT),79601-08 79697-99,48-01000,abilenetx.com,,1881,,325,1329173,"Taylor, Jones",112.2,,,,,Robert Hanna,Mayor Anthony WilliamsShane PriceJack RentzDonna AlbusWeldon W. HurtKyle McAlisterSteve Savage,
226,Wilmington,North Carolina,"122,607","106,476",+15.15%,51.6,133.6,"2,278",880,34°12′33″N 77°53′09″W﻿ ,United States,,"Spencer Compton, 1st Earl of Wilmington",,,Bill Saffo,,41.0,0.5,"282,573",30 ft,"119,045","2,600",Wilmingtonian,UTC−5 (Eastern (EST)),UTC−4 (EDT),28401-28412,37-74440,http://www.wilmingtonnc.gov/,,"February 20, 1739/40","254,884",910,1023269,New Hanover,41.5,,,,,,,
227,Hartford,Connecticut,"122,587","124,775",−1.75%,17.4,45.1,"7,083","2,735",41°45′57″N 72°40′54″W﻿ ,United States,1635,,Mayor-council,,Luke Bronin (D),,17.4,0.7,"1,214,295",59 ft,"122,587","7,135",Hartfordite,UTC−5 (EST),UTC−4 (EDT),061xx,09-37000,www.hartford.gov,"1,489,361 (US: 36th)","May 29, 1784",469,860/959,0213160,Hartford,,,,,,,,Bradley International Airport
228,Victorville,California,"122,312","115,903",+5.53%,73.3,189.8,"1,668",644,34°31′40″N 117°21′13″W﻿ ,United States,,Jacob Nash Victor,,,Gloria Garcia,73.89,73.33,0.56,,"2,726 ft","122,441","1,667.37",,UTC-8 (Pacific Time Zone),UTC-7 (PDT),92392–92395,06-82590,www.victorvilleca.gov,,"September 21, 1962",,442/760,"1652806, 2412156",San Bernardino,,,,,,Doug Robertson,,San Bernardino International AirportSBD (Major/International)
229,Pearland,Texas,"122,149","91,252",+33.86%,46.3,119.9,"2,453",947,29°33′21″N 95°19′23″W﻿ ,United States,,,Council-Manager,,,48.154,48.329,.175,,49 ft,"119,940","2,315",,UTC−6 (Central (CST)),UTC−5 (CDT),"77581, 77584, 77588",48-56348,www.cityofpearland.com,,,,"281, 713, 832",1343734,"Brazoria, Fort Bend, Harris",,,,,,Clay Pearson,Mayor Tom ReidMayor Pro Tem Derrick ReedTony CarboneGary MooreAdrian HernandezJ. David LittleTrent PerezWoody Owens,
230,Vallejo,California,"121,913","115,942",+5.15%,30.7,79.5,"3,951","1,525",38°06′28″N 122°15′50″W﻿ ,United States,,,Council-Manager,,Bob Sampayan,49.54,30.67,18.87,,69 ft,"121,299","3,954.84",,UTC−8 (Pacific),UTC−7 (PDT),"94589, 94590, 94591, 94592",06-81666,www.ci.vallejo.ca.us,,"March 30, 1868",,707,"1661612, 2412142",Solano,,,,,1851,Daniel E. Keen,,
231,Ann Arbor,Michigan,"121,890","113,934",+6.98%,28.1,72.8,"4,298","1,659",42°16′34″N 83°43′51″W﻿ ,United States,,,Council-Manager,,Christopher Taylor (D),,27.90,0.87,"344,791",840 ft,"121,477","4,353.55",Ann Arborite,UTC-5 (EST),UTC-4 (EDT),"48103, 48104, 48105, 48106, 48107, 48108, 48109, 48113",26-03000,Official website,,,"306,022",734,0620133,Washtenaw,28.77,,,,,,,
232,Berkeley,California,"121,643","112,580",+8.05%,10.5,27.2,"11,547","4,458",37°52′01″N 122°17′57″W﻿ ,United States,,,Council-Manager,,Jesse Arreguín,17.69,10.47,7.23,,171 ft,"122,324","11,683.28",Berkeleyan,UTC−8 (Pacific),UTC−7 (PDT),"94701–94710, 94712, 94720",06-06000,www.cityofberkeley.info,,"April 4, 1878",,510,,Alameda,,,,,,,,
233,Allentown,Pennsylvania,"121,433","118,032",+2.88%,17.5,45.3,"6,882","2,657",40°35′37″N 75°28′42″W﻿ ,United States,1751,William Allen,Mayor-Council,,Ray O'Connell (D),,17.55,0.48,730.0,338 ft,"121,283","6,911.50",Allentonian,UTC−5 (EST),UTC−4 (EDT),"18101, 18102, 18103, 18104, 18105, 18106, 18109, 18175, 18195",42-02000,www.allentownpa.gov,,"March 12, 1867",289.50,"610, 484",1202899,Lehigh,,,,,1762,,"Council Members
Roger MacLean (president)Candida Affa  (vice president)Daryl HendricksJulio GuridyCynthia MotaCourtney RobinsonEd Zucal",Lehigh Valley International Airport- ABE (Major/International)
234,Richardson,Texas,"120,981","99,223",+21.93%,28.6,74.1,"3,963","1,530",32°58′20″N 96°42′29″W﻿ ,United States,,,Council-Manager,,,28.6,28.6,0.08,,630 ft,"108,617","3,803",,UTC−6 (CST),UTC−5 (CDT),"75080-75083, 75085",48-61796,www.cor.net,,,,"214, 469, 972",1345172,Dallas Collin,,,,,,Dan Johnson,Mayor Paul VoelkerMark SolomonBob DubeyScott DunnMabel SimpsonMarta Gómez FreySteve Mitchell,
235,Odessa,Texas,"120,568","99,940",+20.64%,45.2,117.1,"2,608","1,007",31°53′02″N 102°20′28″W﻿ ,United States,,,Council-Manager,,,44,43.9,0.1,,"2,900 ft",,"2,277",,UTC−6 (CST),UTC−5 (CDT),79760-69,48-53388,www.odessa-tx.gov,,,,432,1343067,"Ector, Midland",,,,,,Michael Marrero,Mayor David TurnerMalcolm Hamilton Dewey BryantBarbara GraffMichael GardnerFiliberto Gonzales,
236,Arvada,Colorado,"120,492","106,433",+13.21%,38.6,100.0,"3,043","1,175",39°50′01″N 105°09′01″W﻿ ,United States,1859,Hiram Arvada Haskin,Home Rule Municipality,,Marc Williams (2011- ),39.39,38.67,0.72,,"5,344 ft","117,453","3,037.55",Arvadan,UTC−7 (MST),UTC−6 (MDT),80001-80007 and 80403,08-03455,arvada.org,,"August 24, 1904",,Both 303 and 720,0204709,Jefferson CountyAdams County,,,,,,Mark Deven (2011- ),,
237,Cambridge,Massachusetts,"118,977","105,162",+13.14%,6.4,16.6,"17,289","6,675",42°22′34″N 71°07′07″W﻿ ,United States,1630,,Council-City Manager,,Marc C. McGovern,7.13,6.43,0.70,,40 ft,"110,651","15,000",Cantabrigian,UTC−5 (Eastern),UTC−4 (Eastern),"02138, 02139, 02140, 02141, 02142",25-11000,cambridgema.gov,,1636,,617 / 857,0617365,Middlesex,1846,,,,,Louis A. DePasquale,,
238,Sugar Land,Texas,"118,600","78,817",+50.48%,34.0,88.1,"3,488","1,347",29°35′58″N 95°36′51″W﻿ ,United States,,,Council-Manager,,,34.0,32.4,1.6,,100 ft,"118,118","2,723",,UTC−6 (Central (CST)),UTC−5 (CDT),"77478-79, 77487, 77496, and 77498",48-70808,www.sugarlandtx.gov,,,,"Mostly 281 also 713, 832, and 346",1348034,Fort Bend,,,,,,Allen Bogard,Mayor Joe R. ZimmermanHimesh GandhiJennifer Lane Steve PorterBridget YeungAmy MitchellCarol McCutcheon,
239,Beaumont,Texas,"118,428","118,296",+0.11%,82.1,212.6,"1,441",556,30°05′06″N 94°08′43″W﻿ ,United States,1835,,Council-Manager,,,,82.8,3.1,"404,872",16 ft,"119,114","1,438",Beaumonter,UTC−6 (CST),UTC−5 (CDT),"77701–77710, 77713, 77720, 77725, 77726",48-07000,beaumonttexas.gov,,,"147,922",409,1330268,Jefferson,85.8,,,,,Kyle Hayes,Mayor Becky AmesLouis R. Feldschau(at-large)W. L. Pate Jr.(at-large)Virginia Jordan(I)Mike Getz(II)Audwin M. Samuel(III)Robin Mouton(IV),
240,Lansing,Michigan,"118,427","114,297",+3.61%,39.1,101.3,"2,967","1,146",42°42′51″N 84°33′33″W﻿ ,United States,1835,"Lansing, New York",Strong Mayor-Council,,Andy Schor (D),,39.17,0.64,"1,714.6",860 ft,"116,986","2,986.55",Lansingite,UTC-5 (EST),UTC-4 (EDT),48901-48980,26-46000,www.lansingmi.gov,"534,684",,158.2,517,1625035,"Ingham, Clinton, Eaton",39.81,,,,,,,
241,Evansville,Indiana,"117,963","117,429",+0.45%,47.3,122.5,"2,526",975,37°59′16″N 87°32′05″W﻿ ,United States,,,,,Lloyd Winnecke (R),,47.35,0.49,"2,367",387 ft,"119,477","2,523.43",,UTC-6 (CST),UTC-5 (CDT),"40 total ZIP codes:
47701, 47702, 47703, 47704, 47705, 47706, 47708, 47710, 47711, 47712, 47713, 47714, 47715, 47716, 47719, 47720, 47721, 47722, 47724, 47725, 47726, 47727, 47728, 47730, 47731, 47732, 47733, 47734, 47735, 47736, 47737, 47739, 47740, 47741, 47744, 47747, 47750, 47755, 47761, 47777",18-22000,City of Evansville,,1817,"229,351",812 & 930,434258,Vanderburgh,47.84,,,,1812,,,
242,Rochester,Minnesota,"116,961","106,769",+9.55%,54.6,141.4,"2,088",806,44°00′55″N 92°28′38″W﻿ ,United States,,,,,Kim Norton (I),,55.20,0.29,"218,280","1,030 ft","116,941","2,096.80",,UTC−6 (CST),UTC−5 (CDT),"55901, 55902, 55903, 55904, 55905, 55906",27-54880,www.rochestermn.gov,"257,846 ",,"107,677",507,0650180,Olmsted,55.48,,,,1854,,,
243,Independence,Missouri,"116,925","116,830",+0.08%,77.8,201.5,"1,504",581,39°05′08″N 94°21′08″W﻿ ,United States,,,,,Eileen Weir,78.25,77.57,0.68,,"1,033 ft","117,306","1,500",,UTC−6 (Central (CST)),UTC−5 (CDT),64050-64057,29-35000,City of Independence,,,,816,0735664,Jackson,,,,,"March 29, 1827",,,
244,Fairfield,California,"116,884","105,321",+10.98%,40.9,105.9,"2,806","1,083",38°15′33″N 122°01′56″W﻿ ,United States,,,Council-manager,,Harry T. Price,41.18,40.92,0.27,,13 ft,"114,756","2,804.67",,UTC−8 (Pacific),UTC−7 (PDT),94533–94535,06-23182,www.fairfield.ca.gov,,"December 12, 1903",,707,"1656005, 2410474",Solano,,,,,,,,
245,Provo,Utah,"116,702","112,488",+3.75%,41.7,108.0,"2,803","1,082",40°14′43″N 111°38′41″W﻿ ,United States,,Étienne Provost,Strong mayor,,Michelle Kaufusi,,41.7,2.5,"526,810","4,551 ft",,"2,700",,UTC−7 (Mountain (MST)),UTC−6 (MDT),84601-84606,49-62470,www.provo.org,,April 1850,,"385, 801",,Utah,44.2,,,,1849,,,
246,Clearwater,Florida,"116,478","107,685",+8.17%,25.9,67.1,"4,415","1,705",27°58′44″N 82°46′00″W﻿ ,United States,,,,,George N. Cretekos,,25.99,9.83,"2,783,243",30 ft,"115,513","4,444.86",,UTC-5 (Eastern (EST)),UTC-4 (EDT),33755–33769,12-12875,www.myclearwater.com,,1891,,727,0280543,Pinellas,35.82,,,,,,,
247,College Station,Texas,"116,218","93,857",+23.82%,51.0,132.1,"2,199",849,30°35′07″N 96°17′47″W﻿ ,United States,,,Council-Manager,,Karl Mooney,,49.5,0.2,"273,101",338 ft,,"1,978",,UTC-6 (CST),UTC-5 (CDT),77840-77845,48-15976,www.cstx.gov,,,,979,1354786,Brazos,49.6,,,,,Bryan Woods,"Council members
Bob Brick, Place 1Jerome Rektorik, Place 2Linda Harvell, Place 3Elianor Vessali, Place 4John Nichols, Place 5Dennis Maloney, Place 6",
248,West Jordan,Utah,"116,046","103,712",+11.89%,32.3,83.7,"3,520","1,360",40°36′09″N 112°00′03″W﻿ ,United States,1848,Jordan River,,,,30.9,30.9,0.0,,"4,373 ft",,"3,356.37",,UTC−7 (Mountain (MST)),UTC−6 (MDT),"84081, 84084, 84088",49-82950,www.westjordan.utah.gov,,1947,,"385, 801",1434086,Salt Lake,,,,,,,,
249,Carlsbad,California,"115,877","105,328",+10.02%,37.7,97.6,"3,023","1,167",33°07′26″N 117°16′58″W﻿ ,United States of America,,,Council–manager,,Carl Armstrong-Champ,39.12,37.74,1.38,,52 ft,"115,330","3,055.91",,UTC−8 (Pacific),UTC−7 (PDT),"92008–92011, 92018",06-11194,www.carlsbadca.gov,,"July 16, 1952",,442/760,"1660437, 2409984",San Diego,,,,,,,,
250,El Monte,California,"115,586","113,475",+1.86%,9.6,24.9,"12,063","4,658",34°04′29″N 118°01′45″W﻿ ,United States,,,Council-Manager,,Andre Quintero,9.65,9.56,0.09,,299 ft,"115,807","12,111.17",,UTC−8 (Pacific),UTC−7 (PDT),91731–91735,06-22230,ci.el-monte.ca.us,,"November 18, 1912",,626,"1652702, 2410413",Los Angeles,,,,,,,,
251,Murrieta,California,"114,985","103,466",+11.13%,33.6,87.0,"3,324","1,283",33°34′20″N 117°11′25″W﻿ ,United States,,,Council–manager,,,33.64,33.60,0.04,,"1,175 ft","114,985","3,422.17",,UTC−8 (Pacific),UTC−7 (PDT),92562–92564,06-50076,www.murrieta.org,,"July 1, 1991",,951,"1667919, 2411199",Riverside,,,,,,Kim Summers,,Ontario International Airport (ONT)San Diego International Airport (SAN)
252,Temecula,California,"114,742","100,097",+14.63%,37.3,96.6,"3,031","1,170",33°29′35″N 117°07′54″W﻿ ,United States,,,,,,37.28,37.27,0.01,,"1,017 ft","113,181","3,036.79",,UTC−8 (Pacific),UTC−7 (PDT),92589–92593,06-78120,temeculaca.gov,,"December 1, 1989",,951,"1652799, 2412044",Riverside,,,,,"April 22, 1859",Aaron Adams,,
253,Springfield,Illinois,"114,694","116,250",−1.34%,60.1,155.7,"1,925",743,39°47′28″N 89°38′41″W﻿ ,United States,,,,,Jim Langfelder (D),,60.09,6.28,"211,752",558 ft,"114,868","1,925.63",,UTC−6 (CST),UTC−5 (CDT),"ZIP codes
62701–62708, 62711, 62712, 62715, 62716, 62719, 62722, 62723, 62726, 62736, 62739, 62756, 62757, 62761–62767, 62769, 62776, 62777, 62781, 62786, 62791, 62794, 62796",17-167-11046,www.springfield.il.us,,,,217,,Sangamon,,,,,"April 10, 1821",,,
254,Palm Bay,Florida,"114,194","103,190",+10.66%,65.7,170.2,"1,676",647,27°59′08″N 80°39′45″W﻿ ,United States,,,Council-Manager,,William Capote,,65.72,3.14,"543,376",19 ft,"110,104","1,675.30",,UTC−5 (Eastern (EST)),UTC−4 (EDT),32905-32911,12-54000,www.PalmBayFlorida.org,,,,321,0288389,Brevard,68.86,,,,,Lisa Morrell (interim),,
255,Costa Mesa,California,"113,615","109,960",+3.32%,15.7,40.7,"7,186","2,775",33°39′57″N 117°54′44″W﻿ ,United States of America,,,Council-CEO,,,15.81,15.72,0.08,,98 ft,"112,822","7,175.60",Costa Mesan,UTC-8 (PST),UTC-7 (PDT),92626–92628,06-16532,www.costamesaca.gov,,"June 29, 1953",,714/657/949,"1652692, 2410239",Orange,,,,,,Tom Hatch,Mayor Katrina FoleyMayor Pro Tem John StephensManuel ChavezSandy GenisAndrea MarrAllan MansoorArlis Reynolds,John Wayne International AirportSNA (Major/International)
256,Westminster,Colorado,"113,479","106,114",+6.94%,31.7,82.1,"3,592","1,387",39°52′56″N 105°03′52″W﻿ ,United States,1859,,Home Rule Municipality,,Herb Atchison,34.05,31.73,2.32,,"5,384 ft","113,875","3,588.99",,UTC−7 (MST),UTC−6 (MDT),"80003, 80005, 80020-80021, 80023, 80030-80031, 80035-80036, 80221, 80234, 80241, 80260",08-83835,www.cityofwestminster.us,,"May 24, 1911 as the Town of Westminster",,Both 303 and 720,0204703,Adams CountyJefferson County,,,,,,Donald M. Tripp,,
257,North Charleston,South Carolina,"113,237","97,471",+16.18%,73.7,190.9,"1,483",573,32°55′04″N 80°03′54″W﻿ ,United States,,,Mayor-council government,,R. Keith Summey,,73.2,3.5,"744,526",25 ft,"108,304","1,393",,UTC−5 (EST),UTC−4 (EDT),,45-50875,www.northcharleston.org,,,,843 and 854,1225072,"Berkeley, Charleston, Dorchester",76.6,,,,,,,
258,Miami Gardens,Florida,"113,069","107,167",+5.51%,18.2,47.1,"6,212","2,398",25°56′56″N 80°14′37″W﻿ ,United States of America,,,Council-Manager,,Oliver G. Gilbert III,,18.24,0.78,"5,564,635",7 ft,"113,750","6,199.03",,UTC-5 (EST),UTC-4 (EDT),,12-45050,miamigardens-fl.gov,,"May 13, 2003",,"305, 786",1989951,Miami-Dade,19.02,,,,,Cameron Benson,,
259,Manchester,New Hampshire,"112,525","109,565",+2.70%,33.1,85.7,"3,339","1,289",42°59′06″N 71°26′39″W﻿ ,United States,,,,,Joyce Craig (D),,33.1,1.9,"406,678",210 ft,"111,196","3,338",,UTC-5 (Eastern),UTC-4 (Eastern),03101-03111 (03110 assigned to suburb Bedford),33-45140,www.manchesternh.gov,,1751,"158,377",603,0868243,Hillsborough,35.0,,,,,,,
260,High Point,North Carolina,"112,316","104,371",+7.61%,55.2,143.0,"2,015",778,35°59′24″N 79°59′26″W﻿ ,United States,,,,,Jay W. Wagner,,53.8,1.7,"746,593",938 ft,"111,223","1,900",,UTC−5 (EST),UTC−4 (EDT),27260-27265,37-31400,www.highpointnc.gov,,,"166,485",336,0986755,"Guilford, Davidson, Randolph, Forsyth",55.4,,,,,,,
261,Downey,California,"112,269","111,772",+0.44%,12.4,32.1,"9,134","3,527",33°56′18″N 118°07′51″W﻿ ,United States of America,,Gov. John G. Downey,Council-manager,,,12.57,12.41,0.16,,118 ft,"113,267","9,128.55",,UTC-8 (PST),UTC-7 (PDT),90239–90242,06-19766,www.downeyca.org,,"December 17, 1956",,562,"1652698, 2410352",Los Angeles,,,,,"October 23, 1873",Gilbert A. Rivas,,
262,Clovis,California,"112,022","95,631",+17.14%,24.2,62.7,"4,404","1,700",36°49′42″N 119°41′06″W﻿ ,United States,,,Council–manager,,Bob Whalen ,24.40,24.40,0.00,,361 ft,"109,691","4,368.33",,UTC−8 (Pacific),UTC−7 (PDT),93611–93613 and 93619,06-14218,www.ci.clovis.ca.us,,"February 27, 1912",,559,"1656303, 2409488",Fresno,,,,,,,,
263,Pompano Beach,Florida,"111,954","99,845",+12.13%,24.0,62.2,"4,558","1,760",26°14′30″N 80°08′02″W﻿ ,United States,,,Commission-Manager,,Rex Hardin,,24.04,0.67,"5,564,635",13 ft,"110,473","4,550.65",,UTC−5 (EST),UTC−4 (EDT),"33060-33077, 33093, 33097",12-58050,www.pompanobeachfl.gov,,"July 3, 1908",,"754, 954",0289162,Broward,24.71,,,,,Gregory Harrison,,
264,Pueblo,Colorado,"111,750","106,595",+4.84%,53.6,138.8,"2,058",795,38°16′12″N 104°36′44″W﻿ ,United States,,,Home Rule Municipality,Pueblo City Council,Nick Gradisar,54.38,53.59,0.79,,"4,692 ft","110,291","2,057.98",,UTC−7 (MST),UTC−6 (MDT),81001-81012,08-62000,pueblo.us,,"November 15, 1885",,719,0204798,Pueblo – county seat,,,,,,,,
265,Elgin,Illinois,"111,683","108,188",+3.23%,37.4,96.9,"2,998","1,158",42°02′23″N 88°19′18″W﻿ ,United States,,,"Home Rule, Council-manager",,Dave Kaptain,37.94,37.45,0.49,,817 ft,"112,456","3,002.83",Elginite,UTC−6 (Central),UTC−5 (Central),60120–60125,17-23074,cityofelgin.org,,1854,,"331, 847 and 224",,"Kane, Cook",,,,,,Rick Kozal,,
266,Lowell,Massachusetts,"111,670","106,519",+4.84%,13.6,35.2,"8,129","3,139",42°38′20″N 71°19′16″W﻿ ,United States,1653,,Manager-City council,,William Samaras,14.5,13.8,0.8,,102 ft,"111,640","8,077",Lowellian,UTC−5 (Eastern),UTC−4 (Eastern),"01850, 01851, 01852, 01853, 01854",25-37000,"City of Lowell, Massachusetts",,1826,,978 / 351,0611832,Middlesex,,,,,,Eileen Donoghue,,
267,Antioch,California,"111,535","102,372",+8.95%,29.4,76.1,"3,772","1,456",37°58′45″N 121°47′46″W﻿ ,United States,,,,,Sean Wright,,29.35,0.78,"7,468,390",43 ft,"111,674","3,805.42",,UTC−8 (Pacific),UTC−7 (PDT),"94509, 94531",06-02252,www.ci.antioch.ca.us,,"February 6, 1872",,925,"1657936, 2409715",Contra Costa,30.12,,,,,,,
268,West Palm Beach,Florida,"111,398","99,919",+11.49%,55.1,142.7,"1,963",758,26°44′47″N 80°07′30″W﻿ ,United States,,Palm Beach,Mayor-Commission,,Keith James (D),,55.13,2.56,"5,828,191",13 ft,"110,222","1,961.75",,UTC−5 (EST),UTC−4 (EDT),33401–33422,12-76600,http://wpb.org,,"November 5, 1894","5,502,379",561,0293097,Palm Beach,57.69,,,,,,,
269,Peoria,Illinois,"111,388","115,007",−3.15%,48.2,124.8,"2,371",915,40°45′05″N 89°37′03″W﻿ ,United States,1691,,Council-Manager,,Jim Ardis,,48.23,2.22,"373,590",509 ft,"112,883","2,369.12",,UTC−6 (CST),UTC−5 (CDT),"29 total ZIP codes:
61601-61607, 61612-61615, 61625, 61629, 61630, 61633, 61634, 61636-61639, 61641, 61643, 61650-61656",17-59000,www.peoriagov.org,,,,309,,Peoria,50.45,,,,,Patrick Urich,,
270,Everett,Washington,"111,262","103,019",+8.00%,33.3,86.2,"3,275","1,264",47°57′24″N 122°11′29″W﻿ ,United States,,,Mayor–council,,Cassie Franklin,,33.20,14.71,"3,733,580",,"110,079","3,315.83",,UTC−8 (PST),UTC−7 (PDT),,53-22640,everettwa.gov,,"May 4, 1893",,425,1512198,Snohomish,47.91,,,,,,,
